2026-04-22 14:10:11 | INFO     | SDM-laadproces gestart. Vereiste bibliotheken zijn geïmporteerd.
2026-04-22 14:10:12 | WARNING  | Full Refresh-strategie geactiveerd: Foreign Key-beperkingen zijn tijdelijk uitgeschakeld.
2026-04-22 14:10:12 | INFO     | Alle SDM-doeltabellen succesvol gewist (DELETE FROM). Foreign Key-beperkingen zijn weer geactiveerd.
2026-04-22 14:10:12 | INFO     | Gegevensoverdracht van brondatabases naar het SDM met de 'String-built SQL'-strategie begint.
2026-04-22 14:10:12 | INFO     | Gegevensoverdracht (Load) voltooid en wijzigingen zijn vastgelegd (commit).
2026-04-22 14:10:12 | INFO     | Validatie van het aantal rijen van de overgedragen gegevens wordt gestart.
2026-04-22 14:10:13 | INFO     | Alle verbindingen met bron- en doeldatabases worden gesloten.
2026-04-22 14:10:13 | INFO     | Het SDM-datalaadproces is succesvol en zonder fouten voltooid.
2026-04-22 14:10:13 | ERROR    | Extract_Load | BikeToDrive_2_Fietsverkoop | Datatype mismatch in kolom 'geboortedatum'
2026-04-22 14:10:13 | WARNING  | Extract_Load | BikeToDrive_1_Accessoireverkoop | 3 rijen overgeslagen wegens ontbrekende waarden
2026-04-22 14:10:13 | INFO     | Alle verbindingen met bron- en doeldatabases worden gesloten.
